joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.058165,0.027734,-0.043892,0.099444,-0.085343,-0.014519,0.201891,-0.111752,0.090513,0.141861,0.154674,-0.131270,-0.131270,-0.156925,-0.187271,0.282849,-0.282849,-0.088683,0.064152,-0.589871,0.589871,0.415759,0.415759,0.175922,-0.175922,-0.427593,-0.427593,-0.048678,-0.048678
0.055971,0.025522,-0.044069,0.099042,-0.085549,-0.014706,0.201718,-0.111655,0.092208,0.141275,0.154136,-0.130504,-0.130504,-0.155522,-0.185942,0.284760,-0.284760,-0.088340,0.063948,-0.590520,0.590520,0.410080,0.410080,0.176030,-0.176030,-0.430281,-0.430281,-0.049147,-0.049147
0.053486,0.023088,-0.044183,0.098640,-0.085772,-0.014886,0.201800,-0.111617,0.094120,0.140656,0.153686,-0.129894,-0.129894,-0.154111,-0.184675,0.286817,-0.286817,-0.088051,0.063659,-0.591208,0.591208,0.404156,0.404156,0.176116,-0.176116,-0.433062,-0.433062,-0.049666,-0.049666
0.050854,0.020543,-0.044267,0.098239,-0.086003,-0.015064,0.202010,-0.111608,0.096141,0.140020,0.153282,-0.129468,-0.129468,-0.152697,-0.183440,0.289040,-0.289040,-0.087789,0.063328,-0.591956,0.591956,0.397999,0.397999,0.176181,-0.176181,-0.435930,-0.435930,-0.050246,-0.050246
0.047643,0.017372,-0.044270,0.097766,-0.086360,-0.015288,0.202102,-0.111633,0.098483,0.139376,0.152878,-0.129242,-0.129242,-0.151088,-0.182168,0.291449,-0.291449,-0.087314,0.063019,-0.592779,0.592779,0.391617,0.391617,0.176231,-0.176231,-0.438895,-0.438895,-0.050897,-0.050897
0.044226,0.014025,-0.044270,0.097283,-0.086730,-0.015519,0.202213,-0.111665,0.100994,0.138726,0.152485,-0.129232,-0.129232,-0.149394,-0.180805,0.294054,-0.294054,-0.086788,0.062761,-0.593684,0.593684,0.385029,0.385029,0.176277,-0.176277,-0.441977,-0.441977,-0.051626,-0.051626
0.040396,0.010322,-0.044266,0.096779,-0.087126,-0.015763,0.202364,-0.111710,0.103840,0.138062,0.152111,-0.129450,-0.129450,-0.147529,-0.179258,0.296859,-0.296859,-0.086160,0.062602,-0.594670,0.594670,0.378269,0.378269,0.176332,-0.176332,-0.445203,-0.445203,-0.052443,-0.052443
0.036079,0.006081,-0.044234,0.096242,-0.087564,-0.016114,0.202324,-0.111654,0.106907,0.137132,0.151459,-0.129907,-0.129907,-0.145359,-0.177380,0.299859,-0.299859,-0.085406,0.062542,-0.595732,0.595732,0.371385,0.371385,0.176414,-0.176414,-0.448598,-0.448598,-0.053351,-0.053351
0.031519,0.001570,-0.044187,0.095690,-0.088023,-0.016518,0.202189,-0.111547,0.110085,0.136069,0.150667,-0.130621,-0.130621,-0.143036,-0.175337,0.303040,-0.303040,-0.084589,0.062531,-0.596861,0.596861,0.364430,0.364430,0.176530,-0.176530,-0.452184,-0.452184,-0.054354,-0.054354
0.026209,-0.003671,-0.044254,0.094973,-0.088400,-0.017062,0.201649,-0.111404,0.113696,0.135263,0.150254,-0.131623,-0.131623,-0.140445,-0.173163,0.306383,-0.306383,-0.083622,0.062712,-0.598051,0.598051,0.357469,0.357469,0.176671,-0.176671,-0.455964,-0.455964,-0.055452,-0.055452
0.020663,-0.009088,-0.044327,0.094217,-0.088837,-0.017654,0.201021,-0.111322,0.117462,0.134287,0.149759,-0.132959,-0.132959,-0.137728,-0.170852,0.309860,-0.309860,-0.082704,0.062881,-0.599299,0.599299,0.350577,0.350577,0.176800,-0.176800,-0.459925,-0.459925,-0.056632,-0.056632
0.014643,-0.014858,-0.044409,0.093383,-0.089397,-0.018344,0.200218,-0.111365,0.121538,0.132969,0.149103,-0.134693,-0.134693,-0.134758,-0.168265,0.313438,-0.313438,-0.081884,0.063027,-0.600605,0.600605,0.343838,0.343838,0.176855,-0.176855,-0.464031,-0.464031,-0.057859,-0.057859
0.008185,-0.021048,-0.044281,0.092462,-0.090047,-0.019107,0.199126,-0.111578,0.126209,0.131702,0.148743,-0.136908,-0.136908,-0.131635,-0.165604,0.317081,-0.317081,-0.080903,0.063151,-0.601972,0.601972,0.337357,0.337357,0.176748,-0.176748,-0.468223,-0.468223,-0.059077,-0.059077
0.001508,-0.027449,-0.044048,0.091499,-0.090743,-0.019907,0.197890,-0.111878,0.131177,0.130460,0.148531,-0.139718,-0.139718,-0.128437,-0.162906,0.320748,-0.320748,-0.079842,0.063263,-0.603398,0.603398,0.331265,0.331265,0.176382,-0.176382,-0.472424,-0.472424,-0.060204,-0.060204
-0.005547,-0.034312,-0.043423,0.090564,-0.091524,-0.020780,0.196633,-0.112424,0.137467,0.130041,0.149618,-0.143258,-0.143258,-0.125538,-0.160851,0.324400,-0.324400,-0.078616,0.063328,-0.604875,0.604875,0.325721,0.325721,0.175665,-0.175665,-0.476546,-0.476546,-0.061147,-0.061147
-0.012616,-0.041251,-0.042856,0.089603,-0.092484,-0.021709,0.195302,-0.113030,0.144262,0.129793,0.151418,-0.147668,-0.147668,-0.122652,-0.159233,0.328003,-0.328003,-0.077356,0.063281,-0.606395,0.606395,0.320885,0.320885,0.174526,-0.174526,-0.480500,-0.480500,-0.061811,-0.061811
-0.019715,-0.048344,-0.042407,0.088590,-0.093804,-0.022750,0.193825,-0.113756,0.152064,0.129889,0.154641,-0.153081,-0.153081,-0.119794,-0.158487,0.331542,-0.331542,-0.076029,0.063011,-0.607960,0.607960,0.316899,0.316899,0.172930,-0.172930,-0.484211,-0.484211,-0.062120,-0.062120
-0.026968,-0.056385,-0.041710,0.087414,-0.095498,-0.023929,0.192077,-0.114743,0.161214,0.131246,0.160600,-0.159622,-0.159622,-0.117663,-0.159032,0.335019,-0.335019,-0.074566,0.062450,-0.609580,0.609580,0.313880,0.313880,0.170882,-0.170882,-0.487612,-0.487612,-0.062029,-0.062029
-0.034296,-0.064900,-0.040889,0.086155,-0.097379,-0.025178,0.190193,-0.115861,0.171038,0.133233,0.167926,-0.167423,-0.167423,-0.115895,-0.160223,0.338448,-0.338448,-0.073035,0.061745,-0.611275,0.611275,0.311934,0.311934,0.168423,-0.168423,-0.490632,-0.490632,-0.061530,-0.061530
-0.042536,-0.075473,-0.040259,0.084559,-0.100254,-0.026680,0.187890,-0.117104,0.182865,0.137432,0.180822,-0.176625,-0.176625,-0.115097,-0.164455,0.341849,-0.341849,-0.071317,0.060569,-0.613075,0.613075,0.311164,0.311164,0.165628,-0.165628,-0.493182,-0.493182,-0.060657,-0.060657
-0.051585,-0.087059,-0.039798,0.082870,-0.103513,-0.028278,0.185362,-0.118522,0.195523,0.143228,0.195926,-0.187369,-0.187369,-0.114926,-0.169740,0.345244,-0.345244,-0.069465,0.059328,-0.615021,0.615021,0.311661,0.311661,0.162587,-0.162587,-0.495161,-0.495161,-0.059476,-0.059476
-0.062252,-0.100671,-0.039673,0.080996,-0.107541,-0.030067,0.182386,-0.120289,0.209843,0.152219,0.215447,-0.199798,-0.199798,-0.116009,-0.177132,0.348641,-0.348641,-0.067345,0.057955,-0.617151,0.617151,0.313517,0.313517,0.159392,-0.159392,-0.496456,-0.496456,-0.058076,-0.058076
-0.075223,-0.115921,-0.039639,0.079248,-0.112121,-0.031807,0.179055,-0.122469,0.225661,0.165516,0.237618,-0.214062,-0.214062,-0.118931,-0.185454,0.352025,-0.352025,-0.064988,0.056697,-0.619489,0.619489,0.316838,0.316838,0.156115,-0.156115,-0.496954,-0.496954,-0.056550,-0.056550
-0.089346,-0.131988,-0.039649,0.077563,-0.116978,-0.033522,0.175546,-0.124855,0.242227,0.180965,0.261115,-0.230306,-0.230306,-0.122773,-0.194243,0.355344,-0.355344,-0.062513,0.055498,-0.622029,0.622029,0.321753,0.321753,0.152800,-0.152800,-0.496556,-0.496556,-0.054981,-0.054981
-0.106748,-0.149498,-0.039973,0.076120,-0.121867,-0.034771,0.171582,-0.127695,0.261058,0.201169,0.286010,-0.248651,-0.248651,-0.128072,-0.203163,0.358501,-0.358501,-0.060143,0.054753,-0.624722,0.624722,0.328408,0.328408,0.149449,-0.149449,-0.495200,-0.495200,-0.053423,-0.053423
-0.125075,-0.167726,-0.040198,0.074821,-0.126635,-0.035828,0.167511,-0.130429,0.280339,0.222055,0.310958,-0.269189,-0.269189,-0.133399,-0.211853,0.361356,-0.361356,-0.057799,0.054128,-0.627470,0.627470,0.336971,0.336971,0.146027,-0.146027,-0.492870,-0.492870,-0.051886,-0.051886
-0.145251,-0.187393,-0.040227,0.073810,-0.131159,-0.036501,0.163230,-0.132949,0.300520,0.244301,0.336008,-0.291972,-0.291972,-0.138783,-0.220081,0.363738,-0.363738,-0.055507,0.053745,-0.630123,0.630123,0.347616,0.347616,0.142462,-0.142462,-0.489593,-0.489593,-0.050331,-0.050331
-0.167121,-0.208904,-0.040401,0.072935,-0.135628,-0.036902,0.159447,-0.135071,0.321241,0.266843,0.361186,-0.317001,-0.317001,-0.143935,-0.227963,0.365473,-0.365473,-0.053508,0.053480,-0.632492,0.632492,0.360489,0.360489,0.138656,-0.138656,-0.485430,-0.485430,-0.048669,-0.048669
-0.189838,-0.231338,-0.040647,0.072128,-0.140071,-0.037167,0.155914,-0.136995,0.342232,0.289531,0.386427,-0.344196,-0.344196,-0.148970,-0.235671,0.366424,-0.366424,-0.051655,0.053276,-0.634380,0.634380,0.375677,0.375677,0.134494,-0.134494,-0.480465,-0.480465,-0.046774,-0.046774
-0.214831,-0.256797,-0.040367,0.071725,-0.144361,-0.037494,0.153390,-0.137186,0.362926,0.312854,0.411982,-0.373416,-0.373416,-0.154010,-0.242824,0.366521,-0.366521,-0.050206,0.053249,-0.635605,0.635605,0.393197,0.393197,0.129853,-0.129853,-0.474774,-0.474774,-0.044508,-0.044508
