joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
-0.005547,-0.034312,-0.043423,0.090564,-0.091524,-0.020780,0.196633,-0.112424,0.137467,0.130041,0.149618,-0.024840,-0.134270,-0.125538,-0.160851,0.400391,-0.389711,-0.078616,0.063328,-0.485626,0.661246,1.126052,1.189954,0.183727,-0.104597,-0.000488,-0.026651,-0.062552,0.107628
-0.012616,-0.041251,-0.042856,0.089603,-0.092484,-0.021709,0.195302,-0.113030,0.144262,0.129793,0.151418,-0.032310,-0.141353,-0.122652,-0.159233,0.402198,-0.390762,-0.077356,0.063281,-0.486200,0.666173,1.127400,1.189583,0.182842,-0.105230,-0.001327,-0.028399,-0.063748,0.106514
-0.019715,-0.048344,-0.042407,0.088590,-0.093804,-0.022750,0.193825,-0.113756,0.152064,0.129889,0.154641,-0.040487,-0.149162,-0.119794,-0.158487,0.404075,-0.392272,-0.076029,0.063011,-0.486824,0.671503,1.128482,1.188728,0.181028,-0.105856,-0.002264,-0.030231,-0.064306,0.105228
-0.026968,-0.056385,-0.041710,0.087414,-0.095498,-0.023929,0.192077,-0.114743,0.161214,0.131246,0.160600,-0.050008,-0.157673,-0.117663,-0.159032,0.406118,-0.394009,-0.074566,0.062450,-0.487340,0.676048,1.130355,1.187232,0.178401,-0.106248,-0.003450,-0.032095,-0.064164,0.103591
-0.034296,-0.064900,-0.040889,0.086155,-0.097379,-0.025178,0.190193,-0.115861,0.171038,0.133233,0.167926,-0.060200,-0.166535,-0.115895,-0.160223,0.408207,-0.395846,-0.073035,0.061745,-0.487802,0.680201,1.132624,1.185416,0.175368,-0.106523,-0.004761,-0.033974,-0.063672,0.101778
-0.042536,-0.075473,-0.040259,0.084559,-0.100254,-0.026680,0.187890,-0.117104,0.182865,0.137432,0.180822,-0.072247,-0.177025,-0.115097,-0.164455,0.410373,-0.397916,-0.071317,0.060569,-0.488349,0.683251,1.135879,1.182509,0.171591,-0.105751,-0.005979,-0.036127,-0.062176,0.098552
-0.051585,-0.087059,-0.039798,0.082870,-0.103513,-0.028278,0.185362,-0.118522,0.195523,0.143228,0.195926,-0.085139,-0.188015,-0.114926,-0.169740,0.412560,-0.400096,-0.069465,0.059328,-0.489157,0.685925,1.139405,1.179342,0.167581,-0.104726,-0.007098,-0.038321,-0.060488,0.094831
-0.062252,-0.100671,-0.039673,0.080996,-0.107541,-0.030067,0.182386,-0.120289,0.209843,0.152219,0.215447,-0.099724,-0.200001,-0.116009,-0.177132,0.414863,-0.402521,-0.067345,0.057955,-0.490484,0.687850,1.143476,1.175658,0.163107,-0.103193,-0.008018,-0.040596,-0.058419,0.090124
-0.075223,-0.115921,-0.039639,0.079248,-0.112121,-0.031807,0.179055,-0.122469,0.225661,0.165516,0.237618,-0.116465,-0.213473,-0.118931,-0.185454,0.417136,-0.404702,-0.064988,0.056697,-0.492620,0.689252,1.148178,1.172027,0.159235,-0.101375,-0.008739,-0.043204,-0.056445,0.084756
-0.089346,-0.131988,-0.039649,0.077563,-0.116978,-0.033522,0.175546,-0.124855,0.242227,0.180965,0.261115,-0.134283,-0.227688,-0.122773,-0.194243,0.419333,-0.406717,-0.062513,0.055498,-0.495161,0.690393,1.153197,1.168424,0.155665,-0.099414,-0.009360,-0.045978,-0.054519,0.079058
