joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
-0.154412,-0.220636,-0.042812,0.075091,-0.115498,-0.018212,0.207237,-0.095264,0.397061,0.182054,0.266896,-0.582874,-0.735057,-0.085915,-0.107111,0.631310,-0.503397,-0.063287,0.078698,-0.343918,0.532378,0.297171,0.351824,-0.188324,0.188324,0.116207,0.116207,-0.085473,-0.085473
-0.133776,-0.198329,-0.040384,0.075520,-0.113035,-0.016234,0.207600,-0.097253,0.381843,0.170011,0.252319,-0.557530,-0.708179,-0.085796,-0.108379,0.624948,-0.506820,-0.064769,0.078722,-0.333151,0.530498,0.275490,0.322878,-0.173148,0.173148,0.125989,0.125989,-0.088891,-0.088891
-0.114624,-0.177705,-0.038223,0.076260,-0.110835,-0.014689,0.208063,-0.098954,0.366673,0.160580,0.240194,-0.532603,-0.681557,-0.086732,-0.110574,0.618000,-0.509873,-0.065441,0.078360,-0.322478,0.528339,0.254351,0.295218,-0.158728,0.158728,0.135309,0.135309,-0.092167,-0.092167
-0.096146,-0.157651,-0.036136,0.076999,-0.108713,-0.013280,0.208361,-0.100502,0.351433,0.151963,0.228820,-0.508360,-0.655620,-0.088031,-0.112997,0.610706,-0.512413,-0.066010,0.077979,-0.311758,0.525737,0.233751,0.268893,-0.145233,0.145233,0.144013,0.144013,-0.095258,-0.095258
-0.079017,-0.138737,-0.034194,0.077740,-0.106749,-0.012140,0.208327,-0.101747,0.336054,0.144975,0.218952,-0.485070,-0.630766,-0.090058,-0.115879,0.603330,-0.514348,-0.066372,0.077564,-0.300920,0.522560,0.213656,0.243900,-0.132732,0.132732,0.151965,0.151965,-0.098125,-0.098125
-0.063571,-0.121415,-0.032340,0.078466,-0.105060,-0.011299,0.207861,-0.102902,0.321103,0.140179,0.210958,-0.462992,-0.607331,-0.092936,-0.118944,0.596131,-0.515619,-0.066687,0.077081,-0.289982,0.518726,0.194048,0.220226,-0.121184,0.121184,0.159100,0.159100,-0.100737,-0.100737
-0.048967,-0.104887,-0.030530,0.079186,-0.103509,-0.010607,0.207181,-0.104012,0.306365,0.136478,0.203901,-0.442346,-0.585560,-0.096238,-0.122100,0.589333,-0.516196,-0.066979,0.076563,-0.279035,0.514206,0.174937,0.197862,-0.110445,0.110445,0.165456,0.165456,-0.103076,-0.103076
-0.036412,-0.089917,-0.029938,0.080097,-0.102112,-0.010030,0.205692,-0.105377,0.292224,0.134728,0.198797,-0.423295,-0.565587,-0.099846,-0.125026,0.583111,-0.516071,-0.067697,0.075912,-0.268212,0.509038,0.156365,0.176781,-0.100304,0.100304,0.171171,0.171171,-0.105153,-0.105153
-0.024252,-0.075410,-0.029361,0.081034,-0.100670,-0.009547,0.204275,-0.106798,0.278449,0.133382,0.193992,-0.405919,-0.547424,-0.103450,-0.127828,0.577576,-0.515262,-0.068586,0.075242,-0.257639,0.503318,0.138383,0.156913,-0.090530,0.090530,0.176451,0.176451,-0.107011,-0.107011
-0.012881,-0.061831,-0.028813,0.082024,-0.099138,-0.009249,0.203000,-0.108329,0.265404,0.132842,0.189788,-0.390206,-0.530987,-0.107047,-0.130382,0.572776,-0.513820,-0.069816,0.074535,-0.247399,0.497193,0.121033,0.138141,-0.080929,0.080929,0.181518,0.181518,-0.108717,-0.108717
